variant,seed,mean_rmse_h1_h24,mean_mae_h1_h24,h1_rmse,h6_rmse,h12_rmse,h24_rmse
balanced,13,48.17381919754876,28.87627737058534,17.66732915242513,39.46680323282877,48.66919231414795,66.08059597015381
balanced,2026,47.760112318727714,28.49819444285499,17.634257316589355,38.84745788574219,47.95336055755615,65.41312948862712
balanced,42,47.946242756313744,28.351913938919704,17.710576216379803,39.48358631134033,48.087386767069496,65.85566902160645
h1mid,13,49.26832583877775,30.040324426359604,17.967992305755615,40.088598092397056,49.78315671284994,67.27318127950032
h1mid,2026,47.90069312519498,28.346291293700535,17.64717213312785,39.826601346333824,47.6390651067098,65.43756930033366
h1mid,42,47.894795729054344,29.02635055118137,18.083243529001876,40.10028759638468,48.02503172556559,65.40074221293132
hardmid,13,48.813007056713104,28.89244707094299,17.73078950246175,39.20848035812378,48.992459297180176,67.31332619984944
hardmid,2026,48.241564932796685,28.392374214198853,17.430140097935993,38.838842709859215,47.60951964060465,67.75402450561523
hardmid,42,47.637329161167145,27.94479299253888,17.89944537480672,38.750116189320885,47.1579392751058,66.42718728383382
hermes,13,48.0963964064916,28.869196242756317,17.64270814259847,39.13596836725871,48.31108538309733,66.08897844950359
hermes,2026,47.09835994905895,27.851647572384945,17.439481894175213,38.70439847310384,46.94149653116862,64.70667616526286
hermes,42,46.94511204957962,28.083167297972576,17.906266530354817,38.79179096221924,46.91066519419352,64.46819845835368
full_component,42,48.26077961921692,29.115201804372997,18.398075580596924,39.52750603357951,48.464829762776695,66.87974866231282
no_aux_loss,42,48.45406841569477,28.962623059749603,17.933641751607258,39.707507610321045,48.26668771107992,67.26645215352376
no_era5_input,42,55.32390509711371,34.736355202065575,18.120179494222004,46.02648607889811,59.574147860209145,70.07001876831055
no_residual,42,47.59758010837768,28.347133722570206,17.99327294031779,38.63524580001831,48.08029810587565,65.54140027364095
no_routing,42,48.162713845570885,29.339676453007588,18.53479639689128,40.02056042353312,48.67986583709717,64.69472185770671
no_spatial,42,50.07564880450567,30.179375764396454,20.08506441116333,41.59732341766357,50.84222094217936,67.37800439198811
no_temporal,42,48.1809696091546,28.98081523180008,18.51277510325114,40.09571043650309,47.98717753092448,66.02430375417073
