comparison,lead_hour,metric,n_blocks,mean_delta,ci_low,ci_high,p_value,wins
HERMES_minus_AGCRN,1,rmse,879,-7.3918410067039115,-7.9000507247606215,-6.90713946384411,0.00024993751562109475,867
HERMES_minus_BiLSTM-MA,1,rmse,879,-3.9186326634437587,-4.139805779171074,-3.7107984536750984,0.00024993751562109475,860
HERMES_minus_GRU+RNN,1,rmse,879,-2.9576747920089503,-3.1658314819401387,-2.7707045183673746,0.00024993751562109475,861
HERMES_minus_Graph WaveNet,1,rmse,879,-3.488069670025796,-3.761477107497364,-3.2146659051900475,0.00024993751562109475,764
HERMES_minus_Persistence,1,rmse,879,-1.288033256704135,-1.4548457673702961,-1.1340598462525329,0.00024993751562109475,701
HERMES_minus_STGCN,1,rmse,879,-4.590550682892814,-4.885474285486056,-4.321961938066763,0.00024993751562109475,852
HERMES_minus_Spatial CNN,1,rmse,879,-8.324800005334147,-8.803362416829662,-7.852354295215508,0.00024993751562109475,870
HERMES_minus_AGCRN,1,mae,879,-6.45186295629983,-6.894951521083214,-6.054094406506658,0.00024993751562109475,875
HERMES_minus_BiLSTM-MA,1,mae,879,-3.7714336269267767,-3.9538297575954617,-3.59655835908761,0.00024993751562109475,877
HERMES_minus_GRU+RNN,1,mae,879,-2.8179145913730754,-2.988010390773802,-2.659451075085567,0.00024993751562109475,870
HERMES_minus_Graph WaveNet,1,mae,879,-3.4623244734875827,-3.7162096994231493,-3.210330940645333,0.00024993751562109475,803
HERMES_minus_Persistence,1,mae,879,-0.39956979737742454,-0.47622426851421695,-0.32300103229975935,0.00024993751562109475,590
HERMES_minus_STGCN,1,mae,879,-4.334332787538977,-4.588377426850813,-4.094250454127434,0.00024993751562109475,871
HERMES_minus_Spatial CNN,1,mae,879,-7.187597182853519,-7.589142754841505,-6.792013839205261,0.00024993751562109475,876
HERMES_minus_AGCRN,6,rmse,876,-1.806367351804761,-2.238388641573597,-1.3913899150424582,0.00024993751562109475,555
HERMES_minus_BiLSTM-MA,6,rmse,876,-4.516741837555768,-4.953264378521127,-4.094882508651127,0.00024993751562109475,727
HERMES_minus_GRU+RNN,6,rmse,876,-4.29470196228342,-4.750336453426188,-3.8534100263686546,0.00024993751562109475,711
HERMES_minus_Graph WaveNet,6,rmse,876,-1.6688183050041292,-2.0044471168720954,-1.3291846813014252,0.00024993751562109475,552
HERMES_minus_Persistence,6,rmse,876,-12.827337064500748,-13.992574885321485,-11.719351138216552,0.00024993751562109475,776
HERMES_minus_STGCN,6,rmse,876,-4.5972035834005975,-5.098941558652374,-4.1211608236414214,0.00024993751562109475,703
HERMES_minus_Spatial CNN,6,rmse,876,-2.063023464950568,-2.4509357728350247,-1.6678164333261953,0.00024993751562109475,558
HERMES_minus_AGCRN,6,mae,876,-2.0045983331265687,-2.393599352607988,-1.6571584277937992,0.00024993751562109475,593
HERMES_minus_BiLSTM-MA,6,mae,876,-4.3208509409679206,-4.689066199660452,-3.965260307696274,0.00024993751562109475,752
HERMES_minus_GRU+RNN,6,mae,876,-4.254112775527311,-4.656592393235385,-3.8605215294784636,0.00024993751562109475,745
HERMES_minus_Graph WaveNet,6,mae,876,-1.4393543129307722,-1.7214643317815779,-1.1674143067395237,0.00024993751562109475,562
HERMES_minus_Persistence,6,mae,876,-9.547201052762167,-10.372636518082503,-8.756891108104295,0.00024993751562109475,774
HERMES_minus_STGCN,6,mae,876,-4.299019593967079,-4.714789662041897,-3.893980624751466,0.00024993751562109475,736
HERMES_minus_Spatial CNN,6,mae,876,-2.062146844572465,-2.4035350548987995,-1.730358681625454,0.00024993751562109475,590
HERMES_minus_AGCRN,12,rmse,876,-1.478249850187452,-2.1029229915959466,-0.9027838688540808,0.00024993751562109475,504
HERMES_minus_BiLSTM-MA,12,rmse,876,-4.560020838102014,-5.24457882101511,-3.89334703763412,0.00024993751562109475,645
HERMES_minus_GRU+RNN,12,rmse,876,-3.8459670473387795,-4.406499772400797,-3.3077767418893758,0.00024993751562109475,641
HERMES_minus_Graph WaveNet,12,rmse,876,-1.1870486941034908,-1.677834553023113,-0.7118911188994053,0.00024993751562109475,479
HERMES_minus_Persistence,12,rmse,876,-19.17173059281975,-21.020764305426294,-17.35089120545756,0.00024993751562109475,737
HERMES_minus_STGCN,12,rmse,876,-3.7874798019290052,-4.3504007387534305,-3.2660098596985327,0.00024993751562109475,623
HERMES_minus_Spatial CNN,12,rmse,876,-1.3599512659604043,-1.9905253345291158,-0.7562541057172846,0.00024993751562109475,448
HERMES_minus_AGCRN,12,mae,876,-1.5494740711872854,-2.1256901125826664,-1.0291032507559188,0.00024993751562109475,508
HERMES_minus_BiLSTM-MA,12,mae,876,-4.0366908117907325,-4.643774480884178,-3.4710801686594186,0.00024993751562109475,646
HERMES_minus_GRU+RNN,12,mae,876,-3.7071841755242754,-4.213142298172063,-3.2247171331766875,0.00024993751562109475,657
HERMES_minus_Graph WaveNet,12,mae,876,-1.1169238766320158,-1.5498122705633992,-0.6989118221496107,0.00024993751562109475,467
HERMES_minus_Persistence,12,mae,876,-15.966999060153187,-17.53818750892524,-14.40390637271631,0.00024993751562109475,725
HERMES_minus_STGCN,12,mae,876,-3.536433715216246,-4.013862563721469,-3.0960356265606674,0.00024993751562109475,645
HERMES_minus_Spatial CNN,12,mae,876,-1.4848714072347688,-2.036965203847287,-0.9631808808373606,0.00024993751562109475,452
HERMES_minus_AGCRN,24,rmse,876,-1.6887074768244508,-2.4984593547434195,-0.9150455592937818,0.00024993751562109475,489
HERMES_minus_BiLSTM-MA,24,rmse,876,-2.370296055309255,-3.1939537130005493,-1.6024806288685263,0.00024993751562109475,521
HERMES_minus_GRU+RNN,24,rmse,876,-1.4880112168602906,-2.166032577486883,-0.8045642393602171,0.00024993751562109475,518
HERMES_minus_Graph WaveNet,24,rmse,876,-1.4851377657989866,-2.169840241892036,-0.8250096270200484,0.00024993751562109475,481
HERMES_minus_Persistence,24,rmse,876,-17.479918070553634,-19.768471525260832,-15.218701711704666,0.00024993751562109475,651
HERMES_minus_STGCN,24,rmse,876,-2.8256877981692354,-3.505450364836618,-2.165321912460897,0.00024993751562109475,558
