factor,level,method,lead_hour,n,rmse,mae
season,autumn,AGCRN,1,78624,24.113396547304596,14.999514091283835
season,spring,AGCRN,1,16596,12.852012681040284,9.560258040013846
season,summer,AGCRN,1,79488,17.56122620896933,12.154639564893971
season,winter,AGCRN,1,76932,38.568015792700365,22.593670789976546
season,autumn,AGCRN,6,78624,35.39800654792173,22.582308059827398
season,spring,AGCRN,6,16416,18.275989471743998,13.357434290550199
season,summer,AGCRN,6,79488,27.330683742589724,18.794702852834707
season,winter,AGCRN,6,77112,59.68778777640511,34.19578637610624
season,autumn,AGCRN,12,78624,43.3990307153663,27.916782055185077
season,spring,AGCRN,12,16200,22.04137102041504,16.26672237979777
season,summer,AGCRN,12,79488,31.10237444990741,21.92500194499566
season,winter,AGCRN,12,77328,73.49258651317308,41.753027116641256
season,autumn,AGCRN,24,78624,54.3399622885062,37.37990513822996
season,spring,AGCRN,24,15768,37.49447019134017,28.612404023683172
season,summer,AGCRN,24,79488,37.36202658806586,27.659687607729097
season,winter,AGCRN,24,77760,103.15710808119643,66.41552928338142
season,autumn,BiLSTM-MA,1,78624,19.231110734512793,12.749970255487083
season,spring,BiLSTM-MA,1,16596,12.815370732391125,9.713463994372923
season,summer,BiLSTM-MA,1,79488,15.11183156707411,10.729755872145187
season,winter,BiLSTM-MA,1,76932,30.080936744763584,17.575082143620396
season,autumn,BiLSTM-MA,6,78624,38.52336070442456,25.140615142481593
season,spring,BiLSTM-MA,6,16416,20.63049417399081,15.458561637553206
season,summer,BiLSTM-MA,6,79488,29.273209582746812,20.603409129064442
season,winter,BiLSTM-MA,6,77112,63.27752457305046,36.87752368421658
season,autumn,BiLSTM-MA,12,78624,45.68084366098313,29.733334954934158
season,spring,BiLSTM-MA,12,16200,25.2029638243882,18.84773041596383
season,summer,BiLSTM-MA,12,79488,33.65105793049842,24.051550134088117
season,winter,BiLSTM-MA,12,77328,77.11744512839435,45.28954498464896
season,autumn,BiLSTM-MA,24,78624,54.77419731345262,37.686371648433216
season,spring,BiLSTM-MA,24,15768,34.49536621690128,26.478282801727545
season,summer,BiLSTM-MA,24,79488,37.635146739368174,27.456183145196146
season,winter,BiLSTM-MA,24,77760,103.7107932575457,67.64715541964819
season,autumn,GRU+RNN,1,78624,18.382437744118462,11.903884692583802
season,spring,GRU+RNN,1,16596,11.71178751193908,8.655282691182157
season,summer,GRU+RNN,1,79488,14.34660323057934,9.843628336790943
season,winter,GRU+RNN,1,76932,28.793145039722724,16.472168113161025
season,autumn,GRU+RNN,6,78624,38.331217650752585,25.117564262234744
season,spring,GRU+RNN,6,16416,20.011590499743274,14.998214570278952
season,summer,GRU+RNN,6,79488,28.443497110535993,19.910365148393463
season,winter,GRU+RNN,6,77112,62.83866634360147,37.43735508466456
season,autumn,GRU+RNN,12,78624,44.58744578841306,29.302345357184844
season,spring,GRU+RNN,12,16200,24.604844072536167,18.66981880703826
season,summer,GRU+RNN,12,79488,32.32926915852318,23.300050349571652
season,winter,GRU+RNN,12,77328,75.85978847155816,45.40416199532344
season,autumn,GRU+RNN,24,78624,53.75066133425397,37.53964635409115
season,spring,GRU+RNN,24,15768,34.06630966361518,26.52816832721808
season,summer,GRU+RNN,24,79488,37.359936055618824,27.492250342442446
season,winter,GRU+RNN,24,77760,100.29072265282316,66.69552674119518
season,autumn,Graph WaveNet,1,78624,18.481018626235493,12.294809364463177
season,spring,Graph WaveNet,1,16596,13.144087200165282,9.752743125349737
season,summer,Graph WaveNet,1,79488,15.436211666753271,11.023554046152402
season,winter,Graph WaveNet,1,76932,29.495275791932798,16.67668849350212
season,autumn,Graph WaveNet,6,78624,35.17625420132101,22.214187951689517
season,spring,Graph WaveNet,6,16416,19.063208584289125,13.975611423002466
season,summer,Graph WaveNet,6,79488,27.63616445625338,18.824385545250994
season,winter,Graph WaveNet,6,77112,58.348484658501,32.652788499097554
season,autumn,Graph WaveNet,12,78624,42.181934099641275,27.057406866424905
season,spring,Graph WaveNet,12,16200,23.74521910403838,17.53142555117607
season,summer,Graph WaveNet,12,79488,32.11895940552513,22.51885843179496
season,winter,Graph WaveNet,12,77328,71.3363421416432,40.366653933789685
season,autumn,Graph WaveNet,24,78624,56.19083021584949,38.064324291831575
season,spring,Graph WaveNet,24,15768,33.25840143627545,25.49192137158141
season,summer,Graph WaveNet,24,79488,37.49637719449522,27.787479902757106
season,winter,Graph WaveNet,24,77760,101.05646270574218,63.617926365800905
season,autumn,HERMES,1,78624,15.141499481617174,8.81740940674248
season,spring,HERMES,1,16596,10.251600966844773,7.119821664029415
season,summer,HERMES,1,79488,11.782709407693025,7.665484881156009
season,winter,HERMES,1,76932,25.01186367171835,12.973755979937126
season,autumn,HERMES,6,78624,33.311672361120486,20.494066968620867
season,spring,HERMES,6,16416,17.76293154825868,13.10012381218853
season,summer,HERMES,6,79488,26.382967519067954,17.884486353461256
season,winter,HERMES,6,77112,55.55490979082567,30.82206802562827
season,autumn,HERMES,12,78624,41.09035672311076,26.113095683750338
season,spring,HERMES,12,16200,23.309637970116803,17.360823622588757
season,summer,HERMES,12,79488,30.614220000236266,21.70990826147226
season,winter,HERMES,12,77328,67.84435446139659,38.54489511326988
season,autumn,HERMES,24,78624,53.050878961954126,36.73085774002937
season,spring,HERMES,24,15768,35.44271738485108,27.037505963107524
season,summer,HERMES,24,79488,35.961122654203955,26.686077258161205
season,winter,HERMES,24,77760,97.10101328351993,62.35586174437048
season,autumn,Persistence,1,78624,16.339054486889403,9.19143013859916
season,spring,Persistence,1,16596,11.025353771837205,7.460617086633943
season,summer,Persistence,1,79488,12.565131958463537,7.812683713212969
season,winter,Persistence,1,76932,27.81664275961145,13.648845734713026
season,autumn,Persistence,6,78624,46.775870345569246,29.776148528133557
season,spring,Persistence,6,16416,26.030520583830302,19.75148027281315
season,summer,Persistence,6,79488,33.28768012909061,22.341376731235194
season,winter,Persistence,6,77112,80.4083033664043,46.50318657810207
season,autumn,Persistence,12,78624,60.65419475610668,40.62166656841216
season,spring,Persistence,12,16200,33.10918458699706,25.5714691485299
season,summer,Persistence,12,79488,40.93019798416639,29.103782335557224
season,winter,Persistence,12,77328,107.01630766056239,66.476062602689
season,autumn,Persistence,24,78624,74.84438306573404,54.181685994378086
season,spring,Persistence,24,15768,35.790901613805616,27.50391301208798
season,summer,Persistence,24,79488,47.16579679144924,35.35338427358563
season,winter,Persistence,24,77760,128.344620294496,88.07975311771403
season,autumn,STGCN,1,78624,20.119682296617796,12.930126600623993
season,spring,STGCN,1,16596,12.603901602134156,9.451067185985178
season,summer,STGCN,1,79488,15.923992657220353,11.132841713420579
season,winter,STGCN,1,76932,31.825174377477545,18.933164123789552
season,autumn,STGCN,6,78624,38.58892703954481,25.27229690487926
season,spring,STGCN,6,16416,20.98071338253489,16.113390620805134
season,summer,STGCN,6,79488,28.900085405996712,20.039841175296804
season,winter,STGCN,6,77112,62.88835722909287,37.18155095330263
season,autumn,STGCN,12,78624,44.05525496244095,29.31062189800423
season,spring,STGCN,12,16200,24.666460255870554,18.757135268685257
season,summer,STGCN,12,79488,32.41635226760903,23.458526991834134
season,winter,STGCN,12,77328,75.93726552926665,44.73604043956847
season,autumn,STGCN,24,78624,56.46135658291551,39.565633736114144
season,spring,STGCN,24,15768,33.360283241619015,26.159546293125487
season,summer,STGCN,24,79488,36.8323741434989,27.376561140619074
season,winter,STGCN,24,77760,102.8585733513415,68.1966005529825
season,autumn,Spatial CNN,1,78624,25.013997651696247,15.814298443282444
season,spring,Spatial CNN,1,16596,14.318004978094121,10.719921117447807
season,summer,Spatial CNN,1,79488,19.77365255289913,13.928356553151927
season,winter,Spatial CNN,1,76932,38.094643905163466,22.11896297128916
season,autumn,Spatial CNN,6,78624,36.275061756694775,22.63062513471984
season,spring,Spatial CNN,6,16416,18.709077326215905,13.683311244244116
season,summer,Spatial CNN,6,79488,28.085202574789733,19.44363310329178
season,winter,Spatial CNN,6,77112,59.04600008396781,33.60679864823596
season,autumn,Spatial CNN,12,78624,42.11183025873496,27.175327989253443
season,spring,Spatial CNN,12,16200,23.514942883336914,17.38060479396655
season,summer,Spatial CNN,12,79488,31.762667660201174,22.098897144063443
season,winter,Spatial CNN,12,77328,72.63669962449345,41.88397459991811
season,autumn,Spatial CNN,24,78624,54.815080311684326,38.100250315759595
season,spring,Spatial CNN,24,15768,35.474203210802635,27.04446166392391
season,summer,Spatial CNN,24,79488,37.24426596171349,27.374761060891064
season,winter,Spatial CNN,24,77760,109.43605920399673,70.54147611613168
pm_bin,low,AGCRN,1,96435,16.19415387874208,9.075937552735663
pm_bin,moderate,AGCRN,1,61056,19.58010821843901,12.707405008984813
pm_bin,high,AGCRN,1,58551,26.17331902709514,18.503160970306435
pm_bin,severe,AGCRN,1,35598,52.62891025612142,36.738810416171845
pm_bin,low,AGCRN,6,96456,24.812774794801122,13.080537874767899
pm_bin,moderate,AGCRN,6,61035,28.43431067621031,19.427102862133328
pm_bin,high,AGCRN,6,58551,36.74484766327031,27.138429208171637
pm_bin,severe,AGCRN,6,35598,83.8544144927572,58.68964819943237
pm_bin,low,AGCRN,12,96513,31.940310341296392,16.556177354189476
pm_bin,moderate,AGCRN,12,60984,31.54211783045473,22.08028867103039
pm_bin,high,AGCRN,12,58545,42.44572163097321,31.74078391802709
pm_bin,severe,AGCRN,12,35598,104.11767075155583,73.80211659529027
pm_bin,low,AGCRN,24,96705,63.0079090682167,36.33694570437193
pm_bin,moderate,AGCRN,24,60804,38.256423318597555,27.03875373299283
pm_bin,high,AGCRN,24,58533,46.726450563290896,36.721929423118596
pm_bin,severe,AGCRN,24,35598,128.9641247929574,96.795590837321
pm_bin,low,BiLSTM-MA,1,96435,14.479933353321469,8.946995894440523
pm_bin,moderate,BiLSTM-MA,1,61056,16.365522492060695,10.847064499897527
pm_bin,high,BiLSTM-MA,1,58551,19.846936929989408,14.13036122730665
pm_bin,severe,BiLSTM-MA,1,35598,41.031982722672616,28.54662241277497
pm_bin,low,BiLSTM-MA,6,96456,29.282199719577612,16.081864897982047
pm_bin,moderate,BiLSTM-MA,6,61035,32.441280474103905,21.798675060451906
pm_bin,high,BiLSTM-MA,6,58551,40.09995963490855,28.936412648465197
pm_bin,severe,BiLSTM-MA,6,35598,85.37202882249491,60.00102461088279
pm_bin,low,BiLSTM-MA,12,96513,36.39167731841996,19.226279770600584
pm_bin,moderate,BiLSTM-MA,12,60984,35.49228166921964,24.516133835821442
pm_bin,high,BiLSTM-MA,12,58545,47.99222970017097,35.22697630124878
pm_bin,severe,BiLSTM-MA,12,35598,103.96432763600446,74.27398558813331
pm_bin,low,BiLSTM-MA,24,96705,61.80183534963504,36.14726707784326
pm_bin,moderate,BiLSTM-MA,24,60804,37.10200699577224,25.4307364539154
