lead_hour,station,rmse,mae,r2,rmsle
1,mean,26.881757259368896,16.416648467381794,0.8831811425092034,0.4660646865765254
2,mean,30.0346261660258,18.077229499816895,0.8595205436610214,0.4950159713625908
3,mean,33.352230389912926,19.77217197418213,0.8311263872674255,0.5201014379660288
4,mean,36.341320832570396,21.523437976837158,0.8020192689777351,0.5491177390019099
5,mean,38.953261375427246,23.100037097930908,0.7743598340153559,0.5632526725530624
6,mean,41.39082304636637,24.14350684483846,0.7466576912859959,0.6000562459230423
7,mean,42.719198862711586,24.979443550109863,0.7303455252983905,0.5875582993030548
8,mean,44.325649897257485,25.776918411254883,0.7100215126663815,0.6043918877840042
9,mean,45.765602111816406,26.696257909138996,0.6913072778040766,0.6199170053005219
10,mean,47.047963778177895,27.383519490559895,0.6737330532997309,0.6398426393667856
11,mean,48.57435099283854,28.24975856145223,0.652316214561747,0.6544615676005682
12,mean,50.220657666524254,29.170401255289715,0.6287739459869465,0.6571837216615677
13,mean,51.8327267964681,30.201763153076172,0.6047173359766334,0.7283893575270971
14,mean,53.57321548461914,31.431456247965496,0.5777693149277672,0.7035136769215266
15,mean,55.339234034220375,32.52294683456421,0.5495213022744571,0.7448814560969671
16,mean,56.96358553568522,33.989340464274086,0.5227133192536437,0.7581036686897278
17,mean,59.24031162261963,35.258570988972984,0.4835365190556433,0.8353501856327057
18,mean,60.754859606424965,36.27285718917847,0.4569788655260459,0.8435610632101694
19,mean,62.531569480895996,37.41404994328817,0.42505189270210186,0.8828193694353104
20,mean,63.76591682434082,38.432751496632896,0.40169142386065687,0.9214462240537008
21,mean,65.72439002990723,39.87944189707438,0.3643068421789552,0.9506970643997192
22,mean,66.91403643290202,40.80647087097168,0.3409968503042342,0.9540985773007075
23,mean,67.87206904093425,41.96739991505941,0.3218808991186519,0.9682904779911041
24,mean,69.38464164733887,43.10022163391113,0.2912944663655755,0.9908989816904068
