lead_hour,station,rmse,mae,r2,rmsle
1,mean,20.1772723197937,11.575817028681437,0.939192004109276,0.3345658952991168
2,mean,27.032206376393635,15.488611698150635,0.8918449805089423,0.41068049271901447
3,mean,31.740697224934895,18.42090670267741,0.8514934109904116,0.4511881545186043
4,mean,35.19261121749878,20.577219486236572,0.8176694235485499,0.4947030047575633
5,mean,38.36703300476074,22.416629155476887,0.7835414060541592,0.5314928293228149
6,mean,40.37962373097738,23.69162400563558,0.7605738391962564,0.5646661768356959
7,mean,41.925269762674965,24.595390796661377,0.7419761820877183,0.5514801194270452
8,mean,42.98343722025553,25.22905985514323,0.7286970968424694,0.5675899684429169
9,mean,44.29148451487223,25.959254105885822,0.7116236048186279,0.564844806989034
10,mean,45.674577395121254,26.828120231628418,0.693304308839292,0.5645200510819753
11,mean,47.38900661468506,27.76754887898763,0.6695198019589981,0.5927200565735499
12,mean,49.06527360280355,28.880879561106365,0.6459580363854508,0.6103511899709702
13,mean,50.43887837727865,29.6987206141154,0.6258996449529467,0.6344897846380869
14,mean,53.10553137461344,30.921109676361084,0.5859267926316027,0.6629394590854645
15,mean,54.58998680114746,32.07063595453898,0.5625537026469619,0.6908714920282364
16,mean,56.930118242899574,33.1568660736084,0.5245748800884127,0.72261214752992
17,mean,58.605276107788086,34.623015721639,0.49595874177062754,0.7561230510473251
18,mean,60.59504000345866,35.770947774251304,0.4612399897865756,0.7934803863366445
19,mean,62.286303202311196,37.06630071004232,0.43025615884487695,0.8312664727369944
20,mean,63.45664660135905,38.4188871383667,0.4081458732090452,0.8559393038352331
21,mean,65.23366038004558,39.0689484278361,0.3743591013919974,0.8932711184024811
22,mean,66.54620679219563,40.252997716267906,0.3485144635974062,0.905718112985293
23,mean,67.90521208445232,41.45049031575521,0.3215816985733942,0.952753280599912
24,mean,68.69565200805664,42.20459175109863,0.30549450142562923,0.9684293468793234
