lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.66732915242513,9.486208041508993,0.9534901981644901,0.33791681627432507
2,mean,26.268861611684162,14.669289429982504,0.8980321722930215,0.4680383528272311
3,mean,30.89585558573405,17.372955083847046,0.8596913480451364,0.46904653310775757
4,mean,34.45133384068807,19.536361296971638,0.8259707451942631,0.49494456003109616
5,mean,37.19345951080322,21.201740105946858,0.7973603213501675,0.5051759655276934
6,mean,39.466803232828774,22.640123685201008,0.7719612624204243,0.5339269861578941
7,mean,41.091610272725426,23.700273036956787,0.7527384971610465,0.5377150177955627
8,mean,42.50525156656901,24.654380480448406,0.7352215264042935,0.5537590086460114
9,mean,43.77001953125,25.583757559458416,0.7187822958684068,0.5648994594812393
10,mean,44.91327635447184,26.52327887217204,0.7035347373545408,0.6075796137253443
11,mean,46.64168198903402,27.895307699839275,0.6805267956737829,0.6340451041857401
12,mean,48.66919231414795,29.3615296681722,0.6520890511277638,0.6273475835720698
13,mean,49.68224175771078,29.709476629892986,0.6376570300788502,0.7220688909292221
14,mean,52.07456652323405,31.099290053049724,0.6021898991416647,0.7183033128579458
15,mean,53.3416223526001,32.01497586568197,0.5826787666708497,0.7246257811784744
16,mean,54.96806081136068,33.307417233784996,0.5568394522455401,0.7347731292247772
17,mean,56.56501706441244,34.29808362325033,0.5301862560596339,0.7887789805730184
18,mean,57.93321005503336,35.25026321411133,0.507592483078124,0.8045108367999395
19,mean,59.54712168375651,36.472673098246254,0.47948839521492337,0.8470342059930166
20,mean,61.13451290130615,37.613566398620605,0.4515561834060642,0.8663261334101359
21,mean,62.37103239695231,38.585898876190186,0.42851365079528586,0.8783093293507894
22,mean,63.765486081441246,39.584035555521645,0.4026155888470417,0.910617450873057
23,mean,65.17351818084717,40.79847717285156,0.37599718642853713,0.945636992653211
24,mean,66.08059597015381,41.67129421234131,0.35863908596176075,0.9558370262384415
