lead_hour,station,rmse,mae,r2,rmsle
1,Dingling,17.39052963256836,9.189181327819824,0.9371693124838242,0.32977479696273804
1,Changping,17.01658821105957,9.403177261352539,0.9451379588853633,0.3162086606025696
1,Huairou,16.024444580078125,7.873993873596191,0.9458151387547618,0.368147611618042
1,Shunyi,16.974609375,9.188075065612793,0.9572538430956798,0.2996366322040558
1,Wanliu,16.33930778503418,8.973124504089355,0.9599249445176402,0.32897764444351196
1,Guanyuan,17.635879516601562,9.944098472595215,0.9571698488558634,0.3038884401321411
1,Aotizhongxin,16.915250778198242,9.398527145385742,0.9591050287382645,0.30587658286094666
1,Nongzhanguan,18.322961807250977,10.307716369628906,0.9571716151209673,0.41241326928138733
1,Gucheng,18.673337936401367,9.550931930541992,0.9566044901891816,0.30633872747421265
1,Wanshouxigong,20.472251892089844,10.26656723022461,0.9508439442684204,0.3122323453426361
1,Tiantan,16.718154907226562,9.699725151062012,0.9608593938572655,0.3333025276660919
1,Dongsi,19.127771377563477,9.984872817993164,0.9559208016260528,0.31037038564682007
2,Dingling,24.382770538330078,13.050189971923828,0.8764982314397762,0.4876615107059479
2,Changping,23.91345977783203,13.57840633392334,0.8916585399964981,0.4319915473461151
2,Huairou,22.462797164916992,12.446110725402832,0.8935175171933074,0.6144537925720215
2,Shunyi,25.84100341796875,14.845498085021973,0.9009290053796397,0.5545887351036072
2,Wanliu,24.041208267211914,14.061570167541504,0.9132371861115535,0.5055848360061646
2,Guanyuan,26.513164520263672,15.618374824523926,0.9031943157385566,0.4797098636627197
2,Aotizhongxin,25.764793395996094,14.943499565124512,0.9051205065633448,0.48272040486335754
2,Nongzhanguan,27.462217330932617,16.257587432861328,0.9037829242758083,0.6415009498596191
2,Gucheng,28.996318817138672,15.8744535446167,0.8953619774559634,0.49363094568252563
2,Wanshouxigong,30.150623321533203,16.69205093383789,0.893375860407422,0.5098392367362976
2,Tiantan,25.928464889526367,15.290030479431152,0.9058488718031859,0.4849867522716522
2,Dongsi,29.421161651611328,16.78803253173828,0.8957075206219142,0.5348293781280518
3,Dingling,26.4278621673584,14.044519424438477,0.8549173070917827,0.45963144302368164
3,Changping,27.233787536621094,15.14086627960205,0.8594872839391736,0.4387270212173462
3,Huairou,25.197986602783203,13.785097122192383,0.86600015977736,0.4593566656112671
