lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.64717213312785,9.605226198832193,0.9536281176969877,0.3179970309138298
2,mean,26.797516981760662,15.789588451385498,0.8938323074070412,0.4658518508076668
3,mean,31.577127774556477,18.44379496574402,0.8535132358938862,0.4844822684923808
4,mean,34.958764712015785,20.357765674591064,0.8207243106498744,0.49262869854768115
5,mean,37.772613843282066,21.835136731465656,0.7909244486031852,0.5067045018076897
6,mean,39.826601346333824,22.989156246185303,0.7677052579643874,0.523138185342153
7,mean,41.41196219126383,24.008202075958252,0.7487638678903502,0.542980507016182
8,mean,42.770355224609375,24.894519011179607,0.7318373693278509,0.5576529949903488
9,mean,43.53251838684082,25.36082585652669,0.7219159763737119,0.5649142613013586
10,mean,44.57449499766032,25.84775225321452,0.7084190646049361,0.5602380037307739
11,mean,45.9497594833374,26.627598921457928,0.6900994167475529,0.5925930986801783
12,mean,47.6390651067098,27.6901110013326,0.6670094596725823,0.6425477067629496
13,mean,49.6836846669515,28.714528560638428,0.6380337771546699,0.6547503074010214
14,mean,50.986172358194985,29.640339533487957,0.618734071679177,0.687398244937261
15,mean,52.711405754089355,30.82660738627116,0.5927379588156103,0.7320384085178375
16,mean,55.13951619466146,32.31314388910929,0.5543106056479555,0.7972840070724487
17,mean,55.973779360453285,33.1533891359965,0.5401972674050242,0.7805783400932947
18,mean,57.10341835021973,33.96282227834066,0.521058045983574,0.8080390890439352
19,mean,59.00503381093343,35.29370085398356,0.48898677267947616,0.8248236874739329
20,mean,60.3244514465332,36.34960047403971,0.466043306215085,0.8443047801653544
21,mean,61.7960999806722,37.50770870844523,0.4395657585531758,0.8792010247707367
22,mean,62.857842445373535,38.56731939315796,0.42008677926046967,0.9006472229957581
23,mean,64.13970915476482,39.64645544687907,0.39619496136360927,0.9196505745251974
24,mean,65.43756930033366,40.885698000590004,0.37124098649540455,0.960985079407692
