lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.430140097935993,9.347514947255453,0.9547271143728512,0.31091931958993274
2,mean,25.82496452331543,14.483116944630941,0.901371316937858,0.44257936875025433
3,mean,30.529581864674885,17.045626799265545,0.8628273862764574,0.4359368110696475
4,mean,33.98403278986613,19.138884623845417,0.8302881782906973,0.47685834268728894
5,mean,36.79153458277384,20.72582181294759,0.8014277815306121,0.49235748996337253
6,mean,38.838842709859215,21.96120595932007,0.7788516751064826,0.5051228428880373
7,mean,40.64189640680949,23.133352915445965,0.7578369121642856,0.5224967077374458
8,mean,41.842421531677246,23.931283632914226,0.7431992449903505,0.5454764266808828
9,mean,43.1831423441569,24.733737150828045,0.7262475040063667,0.5531454185644785
10,mean,44.519686698913574,25.5930978457133,0.708937401005917,0.570748895406723
11,mean,45.59992472330729,26.607789993286133,0.6945196926013074,0.5982443690299988
12,mean,47.60951964060465,27.848557154337566,0.6670964439585462,0.6373555908600489
13,mean,49.26123046875,28.880279223124187,0.6439495717906095,0.6648278286059698
14,mean,51.22286891937256,30.084156672159832,0.6150645771468085,0.6892036398251852
15,mean,53.32488695780436,31.339213689168293,0.5833707703211709,0.7470919539531072
16,mean,55.681284268697105,32.737636725107826,0.545889092393825,0.7692808906237284
17,mean,57.00566736857096,33.780542532602944,0.5237566827530422,0.7822870115439097
18,mean,58.95014031728109,35.00822846094767,0.49074597832181893,0.8139717827240626
19,mean,60.44968064626058,36.13973522186279,0.4640744513615967,0.8716795941193899
20,mean,62.226996421813965,37.592684268951416,0.4322316023375179,0.8985249350468317
21,mean,63.406840006510414,38.63390223185221,0.41036340910892416,0.9084849307934443
22,mean,64.96893533070882,39.75942897796631,0.3808285154918795,0.9396640757719675
23,mean,66.74931526184082,41.11565240224203,0.3463323869654423,0.9860860804716746
24,mean,67.75402450561523,41.79553095499674,0.3264657942041616,1.0010386904080708
