lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.64270814259847,9.660133838653564,0.9536855058880277,0.32519567509492237
2,mean,26.014716307322185,14.564680337905884,0.8999976738769647,0.44917258620262146
3,mean,30.76663128534953,17.352861960728962,0.860839821512327,0.4499079684416453
4,mean,34.215847174326576,19.504820505777996,0.8282264408464362,0.47392861048380536
5,mean,36.92239252726237,21.155634085337322,0.8001677124294299,0.4978749180833499
6,mean,39.135968367258705,22.53944746653239,0.7756246236577401,0.5233248124519984
7,mean,41.02048873901367,23.759854952494305,0.7534120056663886,0.5338557263215383
8,mean,42.27081489562988,24.58587630589803,0.7379990163776254,0.5450493693351746
9,mean,43.3437245686849,25.430426756540935,0.7242268429803391,0.5701018422842026
10,mean,44.86114692687988,26.434510707855225,0.704376717603972,0.5900890380144119
11,mean,46.61810334523519,27.725051720937092,0.6809944694099251,0.6124681284030279
12,mean,48.31108538309733,28.835859457651775,0.6575636077095591,0.6246073593695959
13,mean,49.52747758229574,29.614178975423176,0.6399434678988408,0.6455837239821752
14,mean,51.715320905049644,30.886219024658203,0.6079067160131563,0.674358144402504
15,mean,53.2503293355306,32.05199432373047,0.5844122851631542,0.702760229508082
16,mean,54.8429225285848,33.205681006113686,0.5590914808966762,0.7350935439268748
17,mean,56.24842770894369,34.29181464513143,0.5358231512358266,0.7555392384529114
18,mean,58.55725638071696,35.79657173156738,0.49727454877900285,0.7974970589081446
19,mean,59.839290618896484,36.80182202657064,0.4746195413377043,0.8248850951592127
20,mean,61.52907053629557,37.90326547622681,0.4446642172742989,0.8600766112407049
21,mean,62.72112305959066,38.812463919321694,0.42276450332579346,0.890274186929067
22,mean,63.87212657928467,39.57377084096273,0.40120436977220714,0.9164829651514689
23,mean,64.99756240844727,40.9337158203125,0.37944153477653636,0.9402449379364649
24,mean,66.08897844950359,41.440053939819336,0.3587529710464838,0.9686475197474161
