lead_hour,station,rmse,mae,r2,rmsle
1,mean,20.793660004933674,12.42616581916809,0.9350101175363424,0.5332103272279104
2,mean,29.233713785807293,17.098938783009846,0.8735428374234662,0.546378197769324
3,mean,34.61137008666992,20.421061515808105,0.8233302304673491,0.5729661037524542
4,mean,38.276330629984535,23.024945576985676,0.7844229230408873,0.6361470371484756
5,mean,41.35308297475179,24.87681293487549,0.7485834082128383,0.6674418151378632
6,mean,43.83734448750814,26.632277806599934,0.7177639130339061,0.6841858824094137
7,mean,45.38416417439779,27.48415772120158,0.6977012186017101,0.6892535785833994
8,mean,47.05280335744222,28.402161439259846,0.6751596211528345,0.6684733231862386
9,mean,48.6435874303182,29.29223044713338,0.6529942681867708,0.7085051635901133
10,mean,49.74806054433187,30.014008204142254,0.6368995390338218,0.7085885653893153
11,mean,50.836289405822754,30.456804752349854,0.6207782215029941,0.7344072858492533
12,mean,52.18373425801595,31.22398090362549,0.6002126404745626,0.7700352420409521
13,mean,53.72721322377523,32.26055335998535,0.5760230144733485,0.773114542166392
14,mean,54.89391199747721,33.09982554117838,0.5570937609339212,0.794927716255188
15,mean,56.65138212839762,34.21965106328329,0.5287182467468116,0.8182233919699987
16,mean,58.008776346842446,35.33678468068441,0.5055316074318194,0.8631165872017542
17,mean,59.35684553782145,36.27730321884155,0.48183153077046725,0.8665458957354227
18,mean,60.495218912760414,36.989551385243736,0.46184672628316986,0.875609298547109
19,mean,62.24742476145426,38.304609298706055,0.4303700448559509,0.9260365267594656
20,mean,63.22411346435547,39.03178183237711,0.41242014031099883,0.9459933439890543
21,mean,64.81405258178711,40.250335693359375,0.382446857086096,0.976902186870575
22,mean,66.29826323191325,41.34299405415853,0.35391740856882,0.9970566083987554
23,mean,66.52542209625244,41.69338512420654,0.3496116491385714,0.9832606663306555
24,mean,67.38219515482585,42.55935796101888,0.3327981523691938,0.9981617530186971
