lead_hour,station,rmse,mae,r2,rmsle
1,mean,28.030592918395996,17.22282123565674,0.8803842780032411,0.46419458587964374
2,mean,31.46279176076253,18.992971738179524,0.8517299606430666,0.4873952691753705
3,mean,34.522945721944176,20.62315098444621,0.8229657400131033,0.5184961433211962
4,mean,38.10738150278727,22.698907216389973,0.7856035162798852,0.5428039679924647
5,mean,40.86024570465088,24.27525234222412,0.7540687829375625,0.5613964051008224
6,mean,42.581855138142906,25.121092637379963,0.7328877440140299,0.5749278416236242
7,mean,44.28758748372396,26.14712365468343,0.7114689180524736,0.589809055129687
8,mean,45.682533264160156,26.59365431467692,0.6927689756738468,0.5890489121278127
9,mean,46.762230237325035,27.406065940856934,0.6777807987569634,0.6038851787646612
10,mean,48.0863831837972,28.436243375142414,0.6596371273456504,0.6188825269540151
11,mean,50.691182136535645,29.80902115503947,0.6212865835707343,0.6404444674650828
12,mean,50.52291011810303,29.813427289326984,0.6241254066559867,0.6505845536788305
13,mean,53.11816120147705,31.389589468638103,0.5846827021589728,0.6766413748264313
14,mean,54.94080320994059,32.51218970616659,0.5559804134050794,0.7041080345710119
15,mean,57.021849950154625,33.78160826365153,0.5212082376875751,0.7382183372974396
16,mean,59.22274684906006,35.32755136489868,0.4834280668306363,0.786778931816419
17,mean,60.27579816182455,36.19789250691732,0.4647223562361847,0.8294857442378998
18,mean,63.63361740112305,37.97020959854126,0.4037452153081777,0.8729380269845327
19,mean,64.92828051249187,39.06764539082845,0.37832820913355353,0.8865035474300385
20,mean,67.15455595652263,40.498585065205894,0.3340729318396356,0.9382575998703638
21,mean,68.38361962636311,41.460317293802895,0.3099011680608356,0.9544958273569742
22,mean,69.73046684265137,42.25062942504883,0.2829521556312568,0.9907879382371902
23,mean,71.13991769154866,43.267526626586914,0.2534194000864209,1.0343235234419506
24,mean,73.68775749206543,44.65902455647787,0.199160853084927,1.0588727593421936
